Товар,Тег,Тип,Описание,RAG_Text
"Миксер для выпечки,техника,кухонный прибор,Миксер для успешной выпечки,""Миксер для выпечки. Категория: техника. Тип: кухонный прибор. Подходит для: быта, облегчения домашних дел, практичного подарка. Миксер для успешной выпечки"""
"Кухонный комбайн с ножом и точилкой,техника,кухонный прибор,Кухонный комбайн с ножом и точилкой,""Кухонный комбайн с ножом и точилкой. Категория: техника. Тип: кухонный прибор. Подходит для: быта, облегчения домашних дел, практичного подарка. Кухонный комбайн с ножом и точилкой"""
"Блендер и шейкер,техника,кухонный прибор,Блендер и шейкер с мощным двигателем,""Блендер и шейкер. Категория: техника. Тип: кухонный прибор. Подходит для: быта, облегчения домашних дел, практичного подарка. Блендер и шейкер с мощным двигателем"""
"Ручной миксер и блендер 3-в-1,техника,кухонный прибор,Ручной миксер и блендер 3-в-1 для кухни,""Ручной миксер и блендер 3-в-1. Категория: техника. Тип: кухонный прибор. Подходит для: быта, облегчения домашних дел, практичного подарка. Ручной миксер и блендер 3-в-1 для кухни"""
"Блендер-шейкер для смузи,техника,кухонный прибор,Мощный блендер-шейкер для смузи,""Блендер-шейкер для смузи. Категория: техника. Тип: кухонный прибор. Подходит для: быта, облегчения домашних дел, практичного подарка. Мощный блендер-шейкер для смузи"""
"Соковыжималка для твердых овощей,техника,кухонный прибор,Соковыжималка для твердых овощей и фруктов с заточными ножами,""Соковыжималка для твердых овощей. Категория: техника. Тип: кухонный прибор. Подходит для: быта, облегчения домашних дел, практичного подарка. Соковыжималка для твердых овощей и фруктов с заточными ножами"""
"Рожковая кофемашина,техника,кофе,Ручная рожковая кофемашина для эспрессо,""Рожковая кофемашина. Категория: техника. Тип: кофе. Подходит для: быта, облегчения домашних дел, практичного подарка. Ручная рожковая кофемашина для эспрессо"""
"Льдогенератор объемом 1.3 л,техника,кухонный прибор,Качественный льдогенератор для дома объемом 1.3 литра,""Льдогенератор объемом 1.3 л. Категория: техника. Тип: кухонный прибор. Подходит для: быта, облегчения домашних дел, практичного подарка. Качественный льдогенератор для дома объемом 1.3 литра"""
"Хлебопечка автоматическая,техника,кухонный прибор,Автоматическая хлебопечка для дома,""Хлебопечка автоматическая. Категория: техника. Тип: кухонный прибор. Подходит для: быта, облегчения домашних дел, практичного подарка. Автоматическая хлебопечка для дома"""
"Мультиварка с цифровым экраном,техника,кухонный прибор,Мультиварка с цифровым широким экраном,""Мультиварка с цифровым экраном. Категория: техника. Тип: кухонный прибор. Подходит для: быта, облегчения домашних дел, практичного подарка. Мультиварка с цифровым широким экраном"""
"Микроволновая печь 28л,техника,готовка,Микроволновая печь объемом 28 литров,""Микроволновая печь 28л. Категория: техника. Тип: готовка. Подходит для: быта, облегчения домашних дел, практичного подарка. Микроволновая печь объемом 28 литров"""
